player_id,player_name,position,team,projected_ppg,projected_total_pts,avg_ppg_2025,games_played_2024,avg_ppg_2024,projection_basis,age,age_adjustment_applied,data_basis,reliability_tier,career_seasons,career_ppg,career_cv,career_reliability_multiplier,sophomore_leap,consensus_adp_overall,consensus_adp_positional,situation_score,ts_neutral,ts_winning_big,ts_losing_big,ts_two_minute,ts_red_zone,target_share_stability,weapons_quality_score,receiver_adjustment,snap_trajectory_multiplier,snap_trajectory_flag,snap_trajectory,schedule_strength_multiplier,schedule_strength_score,rz_opportunity_rate,rz_td_luck,rz_opportunity_adjusted_projection,rz_bust_signal,consensus_adp,rz_adp_signal,camp_status,edge_score,rookie_breakout_bonus,final_score,availability_multiplier,availability_note,games_played_2025,replacement_level,vor_score,final_score_raw,overall_rank,positional_rank,tier,international_games,international_weeks,international_note,intl_games_note,international_flag,international_warning,worst_location,worst_multiplier
00-0039139,Jahmyr Gibbs,RB,DET,20.0,340.0,19.42,17,19.35,"2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [team_corr:DET:1.07:Montgomery traded to HOU — Gibbs is the lead back, not a 67% committee] [consensus_floor:20.0:RB1 consensus]",24.5,none,"2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [team_corr:DET:1.07:Montgomery traded to HOU — Gibbs is the lead back, not a 67% committee] [consensus_floor:20.0:RB1 consensus]",PROVEN_SOLID,3,17.85918367346939,0.13134631828046422,1.06,False,1.5,1.0,78.0,0.18446601941747573,0.02702702702702703,0.1891891891891892,0.1927710843373494,0.16666666666666666,66.74437141048239,63.33856873101522,0.021341709969624353,1.0,,0.0,1.0,50.0,0.36813186813186816,0.41321367194958825,13.586786328050412,NEUTRAL,1.5,NEUTRAL,,51.4045978644831,0.0,9.613333333333332,1.0,,17.0,10.386666666666668,9.613333333333332,20.0,1,1,Elite,1,Wk8,Munich game (Wk8) — lowest scoring international venue,⚠ Munich Wk8,True,,Munich,0.674
00-0038542,Bijan Robinson,RB,ATL,18.5,314.5,19.72,17,18.31,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [consensus_floor:18.5:RB2 consensus] [camp_research:HEALTHY:1.0:ATL RB1. Extension is old news — no injury hold.],24.6,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [consensus_floor:18.5:RB2 consensus] [camp_research:HEALTHY:1.0:ATL RB1. Extension is old news — no injury hold.],PROVEN_SOLID,3,16.937254901960785,0.1767949607540832,1.06,False,2.3,2.0,67.9,0.2040302267002519,0.2857142857142857,0.08823529411764706,0.08974358974358974,0.203125,69.70293993803018,72.5157575508535,0.03602521208136559,1.0,,0.0,1.0,50.0,0.3602941176470588,-1.9366049264846286,9.936604926484629,TD_UNLUCKY_BUY,2.3,NEUTRAL,HEALTHY,46.81891121279908,0.0,8.113333333333332,1.0,,17.0,10.386666666666668,8.113333333333332,18.5,2,2,Elite,0,,,,False,,,1.0
00-0036900,Ja'Marr Chase,WR,CIN,19.0,323.0,15.82,17,19.97,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [injury_year_floor:19.0:WR1 consensus],26.5,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [injury_year_floor:19.0:WR1 consensus],PROVEN_ELITE,5,16.26051282051282,0.13297542402068227,1.12,False,4.0,2.0,65.7,0.314070351758794,0.2,0.2956521739130435,0.2755102040816326,0.2682926829268293,76.47606080475174,65.27654848577377,0.024442477577238036,1.0,,0.0,1.0,50.0,0.1527777777777778,2.5386671758640444,4.4613328241359556,BUST,4.0,BUST,,54.52303146683997,0.0,7.674999999999999,1.0,,16.0,11.325000000000001,7.674999999999999,19.0,3,1,Elite,0,,,,False,,,1.0
00-0036223,Jonathan Taylor,RB,IND,18.01,306.2,19.96,14,16.98,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label],27.6,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label],PROVEN_ELITE,6,17.171764705882353,0.1750011682241528,1.12,False,5.8,3.0,70.7,0.12209302325581395,0.1111111111111111,0.034482758620689655,0.1111111111111111,0.060240963855421686,86.3002999807319,47.0628815721986,-0.0046993894844822425,1.0,,0.0,1.0,50.0,0.40860215053763443,0.5881229711666975,15.411877028833302,NEUTRAL,5.8,NEUTRAL,,58.18858819110811,0.0,7.623333333333333,1.0,,17.0,10.386666666666668,7.623333333333333,18.01,4,3,Elite,0,,,,False,,,1.0
00-0039075,Puka Nacua,WR,LAR,18.5,314.5,19.53,11,15.19,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [injury_year_floor:18.5:WR2 consensus],25.3,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [injury_year_floor:18.5:WR2 consensus],PROVEN_SOLID,3,16.490909090909092,0.13554533527499318,1.06,False,2.8,1.0,73.8,0.3163841807909605,0.17721518987341772,0.24,0.3626373626373626,0.16666666666666666,61.32607183700357,75.88077072647386,0.04140923316235817,1.0,,0.0,1.0,50.0,0.1091703056768559,1.9303036089364136,5.069696391063586,BUST,2.8,BUST,,71.51915891390486,0.0,7.174999999999999,1.0,,19.0,11.325000000000001,7.174999999999999,18.5,5,2,Elite,1,Wk1,Melbourne game (Wk1) — historically low scoring,⚠ Melbourne Wk1,True,,Melbourne,0.853
00-0036963,Amon-Ra St. Brown,WR,DET,18.0,306.0,15.62,17,15.22,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [consensus_floor:18.0:WR4 consensus],26.9,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [consensus_floor:18.0:WR4 consensus],PROVEN_ELITE,5,14.542439024390244,0.13282613145345104,1.12,False,7.6,4.0,68.6,0.36893203883495146,0.32432432432432434,0.1891891891891892,0.3132530120481928,0.3888888888888889,72.13276965615056,63.33856873101522,0.021341709969624353,1.0,,0.0,1.0,50.0,0.1978021978021978,2.6996371968684354,7.300362803131565,BUST,7.6,BUST,,56.52707128647988,0.0,6.674999999999999,1.0,,17.0,11.325000000000001,6.674999999999999,18.0,6,3,Elite,1,Wk8,Munich game (Wk8) — lowest scoring international venue,⚠ Munich Wk8,True,,Munich,0.674
00-0033280,Christian McCaffrey,RB,SF,17.0,289.0,21.39,4,10.08,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [injury_year_floor:17.0:RB3-4 consensus] [camp_research:HEALTHY:1.0:Sleeper 'listed as Questionable' stub is not a ranking haircut. No last-48h setback.],30.2,RB age 30 *0.75,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label] [injury_year_floor:17.0:RB3-4 consensus] [camp_research:HEALTHY:1.0:Sleeper 'listed as Questionable' stub is not a ranking haircut. No last-48h setback.],PROVEN_SOLID,3,19.788437499999997,0.06443612141244802,1.06,False,7.0,4.0,81.6,0.24390243902439024,0.19230769230769232,0.2535211267605634,0.23404255319148937,0.28421052631578947,88.06696284434446,79.61748025625108,0.047387968410001736,1.0,,0.0,1.0,50.0,0.535,-3.698300553752148,21.698300553752148,TD_UNLUCKY_BUY,7.0,NEUTRAL,HEALTHY,62.3032225118323,0.0,6.6133333333333315,1.0,,19.0,10.386666666666668,6.6133333333333315,17.0,7,4,Elite,2,"Wk1, Wk11",2 international games — Melbourne (Wk1); Mexico City (Wk11),⚠ Melbourne Wk1; Mexico City Wk11,True,MULTIPLE_INTL_GAMES,Melbourne,0.853
00-0039040,De'Von Achane,RB,MIA,16.84,286.3,18.04,17,15.35,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label],24.9,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_SOLID*1.06-label],PROVEN_SOLID,3,16.51590909090909,0.06855516468420304,1.06,False,11.4,7.0,58.3,0.2073170731707317,0.14285714285714285,0.14545454545454545,0.18666666666666668,0.16417910447761194,90.135392068741,36.28957430615289,-0.02193668111015537,1.0,,0.0,1.0,50.0,0.31386861313868614,-2.7198777926293687,8.719877792629369,TD_UNLUCKY_BUY,11.4,NEUTRAL,,48.82204018624791,0.0,6.453333333333331,1.0,,16.0,10.386666666666668,6.453333333333331,16.84,8,5,Elite,0,,,,False,,,1.0
00-0038543,Jaxon Smith-Njigba,WR,SEA,17.5,297.5,17.79,17,11.94,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88-label] [team_corr:SEA:1.08:SEA WR1 breakout 2025 - Sam Darnold] [injury_year_floor:17.5:WR3 consensus breakout],24.5,none,2025*0.50+2024*0.30+2023*0.20+rel[VOLATILE*0.88-label] [team_corr:SEA:1.08:SEA WR1 breakout 2025 - Sam Darnold] [injury_year_floor:17.5:WR3 consensus breakout],VOLATILE,3,12.229411764705883,0.36189674087927026,0.88,False,5.2,3.0,70.0,0.3546511627906977,0.30864197530864196,0.8,0.3764705882352941,0.2839506172839506,11.818563858091224,59.84970747056744,0.015759531952907902,1.0,,0.0,1.0,50.0,0.115,3.3358793202215002,4.6641206797785,BUST,5.2,BUST,,58.86010500030787,0.0,6.174999999999999,1.0,,20.0,11.325000000000001,6.174999999999999,17.5,9,4,Elite,0,,,,False,,,1.0
00-0034857,Josh Allen,QB,BUF,24.31,413.3,23.04,16,23.27,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [consensus_floor:24.0:QB1 consensus],30.3,none,2025*0.50+2024*0.30+2023*0.20+rel[PROVEN_ELITE*1.12-label] [consensus_floor:24.0:QB1 consensus],PROVEN_ELITE,6,23.854747474747473,0.033926538255369156,1.12,False,33.2,1.0,75.5,,,,,,50.0,58.19812125728975,0.013116994011663599,1.0,,0.0,1.0,50.0,0.17937219730941703,6.888485774298262,8.111514225701738,BUST,33.2,BUST,,69.3778666364539,0.0,5.602,1.0,,18.0,18.708,5.602,24.31,10,1,Elite,0,,,,False,,,1.0
